"Quarter","ipr","sr","su","pr","y"
1983 Q1,1.12084315444889,7.775576691,3.7910677028453,-0.0680966999416555,2.0609300677437
1983 Q2,2.21802264862547,9.699759934,19.5665841618309,1.25234332636914,2.99032768639993
1983 Q3,3.35722184484655,1.539772228,-0.364830758547541,1.17038620716325,3.03629791538764
1983 Q4,2.58254929336128,0.218393584,0.364830758547541,0.893601842386804,2.82029974186653
1984 Q1,2.90360114329045,-3.30499823,8.34544394987855,1.11403511261381,2.94326144038131
1984 Q2,1.5410175840576,-2.924081572,-2.99240280573523,1.06952891167476,2.56521832263257
1984 Q3,0.682448914468514,2.998784607,2.35385249285276,1.09010377338148,1.8446377803464
1984 Q4,0.0488395715498413,2.890335071,-4.02461881999692,0.730741933178614,1.56210037222522
1985 Q1,0.335600507277345,6.961191338,-0.527891424728288,0.631116010871757,1.94825919348371
1985 Q2,0.0706537820477138,4.223191321,-0.17658489490584,1.21933666415259,1.51835368461448
1985 Q3,-0.142700092455339,2.042327862,-1.56754189401829,0.712187558921862,2.11686316291395
1985 Q4,0.564181969739863,4.189470351,-1.92139316707038,0.890806074975181,1.29821466120372
1986 Q1,0.599629290708137,11.04880104,4.78833876974365,0.213838480751605,1.42540584788566
1986 Q2,-0.593257763302191,9.111485919,1.28273556365128,-0.213838480751605,0.827245016450107
1986 Q3,0.401133933507936,0.249718151,-2.0181617464198,0.731264684628652,1.36195569041053
1986 Q4,1.12961803187748,0.984213839,-2.99701346302772,0.54496047675654,1.07840017530485
1987 Q1,1.30550854574825,13.76797824,-1.71693715353403,1.11095572890534,1.37593839970052
1987 Q2,1.7746306652576,4.88923361,1.46308388937859,1.30526919900262,1.76329535123951
1987 Q3,1.86666476409769,8.412171605,2.26180885877723,1.14286958236223,1.61797576771683
1987 Q4,2.3559872721453,-22.18867742,-8.32427104042068,0.841438302749165,2.49572495580406
1988 Q1,0.909852735229855,1.080116036,6.64175417092183,0.604927669279043,1.29702495729642
1988 Q2,0.870003914610873,1.836864446,1.32689771804984,1.25572426296809,2.27349482829471
1988 Q3,0.366468772827577,1.325783582,2.60211587226458,1.32414950655937,1.77222518701168
1988 Q4,0.710903853054745,3.025888406,-3.20958602691164,1.03021933035174,2.18451380702493
1989 Q1,0.469263056328817,5.53883753,3.03588440255256,1.101939524961,2.04839785206925
1989 Q2,-0.381361161911453,7.619184133,-5.28316998775846,1.63047090249435,1.81976585880417
1989 Q3,-0.621121017431125,8.705354654,1.67215819114244,0.805373480709726,1.46630255345261
1989 Q4,0.387084676571003,0.931212559,-0.759909573216966,0.957963685681396,0.906653142900993
1990 Q1,0.72913639890988,-2.581760737,-0.546349929421286,1.7067501080513,2.15954467134072
1990 Q2,0.701903264683601,3.853128005,-0.365898688504185,1.01024042714144,1.47605147568317
1990 Q3,0.40608291111166,-4.059242782,-13.899244379374,1.71206430455282,0.92004553084184
1990 Q4,-1.54830131450385,-5.923993799,-19.4697742566885,1.60847901072056,-0.172764276532078
1991 Q1,-1.8955001717706,10.69154766,14.0607119356588,0.819371437030902,0.505735713338673
1991 Q2,0.570995465899227,7.221969475,7.41079721537217,0.591717702808836,1.50773615028683
1991 Q3,1.42289119703527,1.804203267,2.32616079221533,0.783549552394902,1.28237042761867
1991 Q4,0.205136222784397,0.402821423,-13.9600600006303,0.753253470436555,0.939874736111435
1992 Q1,-0.121212461971787,6.223052281,-1.54244703256321,0.699556585854388,1.5610832427166
1992 Q2,1.79569785462963,-0.464779335,10.9215534300641,0.813985820655638,1.67780361657499
1992 Q3,0.784036971686497,1.706434128,-3.65553494741011,0.783758910492516,1.4708407976384
1992 Q4,1.01326352024458,1.562482135,8.91990829595226,0.70721652613619,1.72357514660462
1993 Q1,0.910447999710584,4.400948127,4.7721216980527,0.842110239640803,0.725656419081666
1993 Q2,0.19943844229493,0.620442455,-5.65743935174119,0.765753828844407,1.17415536339927
1993 Q3,0.379533543291011,1.791437932,-6.34073906945964,0.392202602181779,1.06872395907889
1993 Q4,1.55007875054567,2.334550901,8.22267649300832,0.688391887809914,1.89472498362147
1994 Q1,1.22403697731857,1.05875537,10.1385947627492,0.638251539816981,1.44260675725594
1994 Q2,1.80975678508064,-3.921688066,-0.863936259070819,0.634203711210723,1.82812041714673
1994 Q3,1.26729753556294,2.181901589,-1.60353290132917,0.876705626589303,1.1544093816374
1994 Q4,2.00581138321256,-0.242213047,2.6107356605495,0.468907859284062,1.68014165442454
1995 Q1,1.03718283529126,4.351799504,1.28024508203763,0.820858741155117,0.894690068164294
1995 Q2,0.311746129832624,8.758060298,-2.8675799976666,0.879900089625796,0.77742414050288
1995 Q3,0.962671141355464,7.412874768,1.62311949285829,0.437063632810908,1.33816440915382
1995 Q4,0.807229285488642,5.573899992,-3.68050286188906,0.478573895787715,1.15765621011032
1996 Q1,0.681222326390518,6.370912006,0.776487539772663,0.907329620567499,1.22604526611134
1996 Q2,2.12998540416534,3.458568068,1.09891215755953,0.984386292653028,2.06747589527136
1996 Q3,1.29432018271594,0.188923856,3.64847333344063,0.530955903835473,1.21959551422606
1996 Q4,1.36750004092754,9.496997357,2.73704943020316,0.717605443320313,1.56627688809667
1997 Q1,1.87757114452678,7.799505327,1.52622938825386,0.670721441301847,1.2379097232003
1997 Q2,1.41748778040167,4.819792817,3.95960666695085,0.396122690390577,1.85024601229049
1997 Q3,2.31146283938868,12.1573556,2.68129691946752,0.394559747667156,1.67622304456252
1997 Q4,2.50937505744417,2.278780418,-0.822269022576716,0.393009089989693,1.18293417903796
